IA.Name,Member.ID,Start.Date,End.Date,IA.ID,IA.Group.1,IA.Group.2,Type,City,Voivodship,Full.Name,Age,Gender,RT.Affiliation,Profession
Warsaw Polytechnic Rector,49,1981-04-11,1985-11-01,IA01311,WPOLY,RECT,NA,NA,NA,Władysław Findeisen,63,M,Opposition,Academic Electrical Engineer
NSZZ Solidarność Lower Silesia Region,50,1980-09-01,1981-12-31,IA00869,NSZZS,LSREG,Opposition Group Leadership Body Regional or Local,NA,NA,Władysław Frasyniuk,34,M,Opposition,Worker Bus Mechanic
Warsaw University Faculty of History,51,1979-09-01,1983-08-31,IA01333,UW,FHIST,Postsecondary School,NA,NA,Marek Frąckowiak,31,M,Opposition,Worker Librarian
WiP,52,1986-01-01,1989-02-01,IA01373,WIP,NA,Opposition Group,NA,NA,Radosław Gawlik,31,M,Opposition,Worker Engineer
Association of Polish Youth,53,1948-01-01,1950-12-31,IA00245,ZMP,NA,Independent Society,NA,NA,Bronisław Geremek,56,M,Opposition,Academic Historian
NSZZ Solidarność Member,54,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Grażyna Gęsicka,37,F,Opposition,Academic Sociologist
Association of Socialist Youth,55,1964-01-01,1989-02-01,IA00252,ZMS,NA,Independent Society,NA,NA,Mieczysław Gil,45,M,Opposition,Worker Steel
NSZZ Solidarność Member,56,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Maria Gintowt-Jankowicz,45,F,Opposition,Lawyer
District Board of Mining in Wrocław,57,1978-01-01,1989-02-01,IA00380,DBMW,NA,Government Agency Regional or Local,NA,NA,Andrzej Glapiński,44,M,Opposition,Worker Miner
Academic Pastoral Care,58,1987-01-01,1989-02-01,IA00182,APC,NA,Charitable or Humanitarian Organization,NA,NA,Elżbieta Golik,24,F,Opposition,Academic Student
Institute of Labor and Social Policy,60,1979-09-01,1989-02-01,IA00533,ILSP,NA,Research Institue,NA,NA,Helena Góralska,41,F,Opposition,Academic Economist
NSZZ Solidarność Member,61,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Jan Andrzej Górny,33,M,Opposition,Worker Computer Systems
Bureau of Light Industry Design,62,1946-01-01,1964-01-01,IA00271,BLID,NA,Government Leadership Body National,NA,NA,Stanisława Grabska,66,F,Opposition,Academic Artist and Theologian
Independent Movement for Health,63,1982-01-01,1989-02-01,IA00517,IMH,NA,Independent Society,NA,NA,Anna Grajcarek,32,F,Opposition,Medical Doctor
Brotherhood of the Oblates of St. Bridget,64,1984-01-01,1989-02-01,IA00268,BOSB,NA,Charitable or Humanitarian Organization,Gdańsk,NA,Władysław Grocki,34,M,Opposition,Worker Mining Technician
Association of Polish Urban Planners,65,1970-01-01,1989-02-01,IA00244,TUP,NA,National Professional Association,NA,NA,Andrzej Grudziński,64,M,Opposition,Academic Architect
NSZZ Solidarność Mazowsze Regional Board,66,1981-01-01,1981-12-31,IA00877,NSZZS,MARB,Opposition Group Leadership Body Regional or Local,NA,NA,Janusz Grzelak,47,M,Opposition,Academic Psychologist
Adam Mickiewicz University Faculty of Law and Administration,67,1969-09-01,1973-08-31,IA00192,AMU,FLA,Postsecondary School,Poznan,NA,Anna Grzymisławska,41,F,Opposition,Lawyer
Warsaw Uprising,68,1944-08-01,1944-09-14,IA01368,POWWAW,NA,Protest Action,NA,NA,Jerzy Grzywacz,60,M,Opposition,Academic Physics
Institute of the Market and Consumption,69,1978-01-01,1988-12-31,IA00538,IMC,NA,Research Institue,NA,NA,Krzysztof Hagemejer,37,M,Opposition,Academic Economics
Citizens Initiative Group,70,1977-01-01,1978-12-31,IA00316,CIG,NA,Independent Society,NA,NA,Aleksander Hall,35,M,Opposition,Academic historian
State Labor Inspectorate,71,1967-01-01,1983-12-31,IA01211,SLI,NA,Government Agency National,NA,NA,Arwid Yrio Hansen,71,M,Opposition,Medical Doctor
Felix Dzerzhinsky Plant Fibers Chemical Plant in Tarnów,72,1955-09-01,1966-01-01,IA00439,FDPFC,NA,Factory,NA,NA,Stefania Hejmanowska,51,F,Opposition,Worker Chemist
“Problemy”,73,1974-01-01,1989-02-01,IA00113,PROB,NA,Periodical,NA,NA,Maciej Tadeusz Iłowiecki,53,M,Opposition,Journalist
Lenin Shipyards Gdańsk May 1988 Strikes,74,1988-08-01,1988-08-31,IA00652,LSYG,M88,Protest Action,NA,NA,Wiesław Isio,37,M,Opposition,Worker
“Biuletyn Informacyjny” KOR,75,1976-09-01,1977-09-01,IA00010,BKOR,NA,NA,NA,NA,Janina Jankowska,49,F,Opposition,Journalist
Polish Scouting Association - ZHP,76,1955-01-01,1989-02-01,IA01068,ZHP,NA,NA,NA,NA,Andrzej Janowski,53,M,Opposition,Academic Polonist
Union of Polish Students - ZSP,77,1970-01-01,1973-12-31,IA01264,ZSP,NA,NA,NA,NA,Gabriel Janowski,41,M,Opposition,Academic Agriculture
Agreement of Brown Coal Mines,78,1980-09-01,1985-12-31,IA00200,AGBC,NA,Political Agreement,NA,NA,Lech Kazimierz Jarodzki,61,M,Opposition,Worker Mining Engineer
Citizens Committee,79,1988-12-01,1989-02-01,IA00317,CITCOM,NA,Opposition Group Leadership Body National,NA,NA,Jerzy Jasiński,58,M,Opposition,Lawyer
Polish Scouting Association - ZHP,80,1960-01-01,1964-12-31,IA01068,ZHP,NA,NA,NA,NA,Jerzy Jaśkowski,40,M,Opposition,Medical Doctor
Association of Authors,81,1971-01-01,1981-12-31,IA00234,ZAIKS,NA,NA,NA,NA,Wiesław Johann,49,M,Opposition,Lawyer
Łódź University Faculty of Socio-Economics,82,1956-09-01,1989-02-01,IA00691,LU,FOSE,Postsecondary School,NA,NA,Cezary Józefiak,56,M,Opposition,Academic Economics
Gdańsk Polytechnic,83,1948-01-01,1974-12-31,IA00467,GPOLY,NA,Postsecondary School,Gdańsk,NA,Stanisław Juchnowicz,65,M,Opposition,Academic Architect
“Biuletyn Informacyjny” KSS-KOR,84,1978-01-01,1981-09-30,IA00011,BKSS,NA,Periodical,NA,NA,Stefan Jurczak,50,M,Opposition,Worker Steel Mechanic
Warsaw University Branch Office in Białystok,86,1977-01-01,1989-02-01,IA01318,UW,BOB,Postsecondary School,NA,NA,Jarosław Kaczyński,39,M,Opposition,Lawyer
KSS-KOR Intervention Committee,87,1977-01-01,1981-09-29,IA00627,KSSKOR,IC,Opposition Group Leadership Body National,NA,NA,Lech Kaczyński,39,M,Opposition,Lawyer
NZS,88,1988-10-01,1989-02-01,IA00947,NZS,NA,Opposition Group,NA,NA,Witold Paweł Kalbarczyk,22,M,Opposition,Student
Jan Kasprowicz High School in Inowrocław,89,1961-09-01,1962-08-31,IA00606,JKHS,NA,High School,NA,NA,Marian Kallas,50,M,Opposition,Academic Historian
“Serwis Informacyna FMW”,90,1984-11-01,1989-02-01,IA00133,SIFMW,NA,Periodical,NA,NA,Mariusz Kamiński,23,M,Opposition,Student
PZPR member,91,1969-01-01,1975-12-31,IA01113,PZPR,MEM,NA,NA,NA,Henryk Karaś,40,M,Opposition,Worker Mining Engineer
NSZZ Solidarność Łódź Regional Board,92,1980-09-01,1981-12-31,IA00870,NSZZS,LZRB,Opposition Group Leadership Body Regional or Local,NA,NA,Rafał Kasprzyk,36,M,Opposition,Academic Law
PAN Institute of Geography and Spatial Development,93,1980-09-01,1989-02-01,IA01006,PAN,IGSD,Research Institue,NA,NA,Andrzej Kassenberg,40,M,Opposition,Academic Geographer
PAN Water Resources Committee,94,1974-01-01,1989-02-01,IA01022,PAN,WRC,Research Institue,NA,NA,Janusz Kindler,54,M,Opposition,Academic Engineer
NSZZ Solidarność Member,95,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Andrzej Klasik,45,M,Opposition,Academic Economics
AGH Kraków Department of Mining Engineering,96,1960-09-01,1971-12-31,IA00203,AGH,DME,Postsecondary School,Krakow,NA,Zdisław Kłeczek,51,M,Opposition,Academic Engineering
Club for Contradiction Seekers,98,1962-01-01,1963-12-31,IA00321,CCS,NA,Salon,NA,NA,Jan Kofman,47,M,Opposition,Academic Historian
Electronic Apparatus Plant “Ema-Elester”,99,1977-01-01,1981-12-31,IA00389,EAPEE,NA,Factory,NA,NA,Ryszard Kostrzewa,42,M,Opposition,Worker
Warsaw Polytechnic Faculty of Architecture,100,1969-09-01,1970-08-31,IA01301,WPOLY,FARCH,Postsecondary School,NA,NA,Adam Tadeusz Kowalewski,48,M,Opposition,Academic Economist
Lech Wałęsa advisor,101,1980-09-01,1989-02-01,IA00648,LWAD,NA,Opposition Group Leadership Body National,NA,NA,Krzysztof Kozłowski,57,M,Opposition,Journalist
PAN Environmental Planning Commission of the Committee for National Spatial Development,102,1980-01-01,1989-02-01,IA01000,PAN,CONSPEPC,Research Institue,NA,NA,Stefan Kozłowski,61,M,Opposition,Academic Geology
Lighting Equipment Plant POLAM Gdańsk,103,1977-01-01,1989-02-01,IA00669,ZSOPOLAM,NA,Factory,NA,NA,Marek Krankowski,42,M,Opposition,Worker Administration
Warsaw University Independent Seminars,104,1961-01-01,1967-12-31,IA01347,UW,UIS,Salon,NA,NA,Marcin Król,44,M,Opposition,Journalist
KWK “May 1” Jatrzębie,105,1970-01-01,1973-12-31,IA00637,KWKM1,NA,Factory,NA,NA,Wiktor Krywulko,37,M,Opposition,Worker Mining Technician
Ministry of Health and Social Welfare,106,1966-09-01,1966-12-31,IA00757,MINHSW,NA,Government Leadership Body National,NA,NA,Marek Kulerski,50,M,Opposition,Medical Doctor
Warsaw University Library,107,1987-01-01,1989-02-01,IA01356,UW,LIB,Postsecondary School,NA,NA,Wiktor Kulerski,44,M,Opposition,Academic Historian
Polish Scouting Association - ZHP,109,1960-01-01,1976-12-31,IA01068,ZHP,NA,NA,NA,NA,Michał Kulesza,40,M,Opposition,Lawyer
Warsaw Uprising,112,1944-08-01,1944-09-30,IA01368,POWWAW,NA,Protest Action,NA,NA,Zofia Kuratowska,57,F,Opposition,Medical Doctor
Warsaw University Institute for Social Prevention and Rehabilitation,113,1972-09-01,1989-02-01,IA01353,UW,ISPR,Postsecondary School,NA,NA,Jacek Kurczewski,46,M,Opposition,Academic Sociologist
Polish Scouting Association - ZHP,114,1955-01-01,1964-12-31,IA01068,ZHP,NA,NA,NA,NA,Jacek Kuroń,54,M,Opposition,Academic Historian
PZPR member,115,1968-01-01,1981-12-13,IA01113,PZPR,MEM,NA,NA,NA,Wojciech Lamentowicz,42,M,Opposition,Academic Law
Main School of Agriculture Warsaw Faculty of Agricultural Economics,116,1967-09-01,1971-08-31,IA01364,SGGW,FAGECON,Postsecondary School,NA,NA,Antoni Leopold,72,M,Opposition,Academic Agriculture
NSZZ Individual Farmers “Solidarity” Wojewod Founding Committee Zielona Gora,117,1981-01-01,1981-12-31,IA00800,NSZZIF,WFCZG,Opposition Group Leadership Body Regional or Local,NA,NA,Edward Lipiec,52,M,Opposition,Academic Agronomist
Stałowa Wola Steel Workers,118,1969-01-01,1989-02-01,IA01202,SWSW,NA,Factory,NA,NA,Władysław Liwak,46,M,Opposition,Lawyer
March 1968 Student Protests Warsaw,119,1968-03-01,1968-05-30,IA00703,MR68,WAW,Protest Action,NA,NA,Helena Łuczywo,43,F,Opposition,Journalist
Union of Polish Socialist Youth,120,1974-01-01,1980-12-31,IA01263,UPSY,NA,National Professional Association,NA,NA,Bogdan Lis,36,M,Opposition,Worker Electrician
Association of Socialist Youth,121,1966-01-01,1967-12-31,IA00252,ZMS,NA,Independent Society,NA,NA,Jan Lityński,43,M,Opposition,Academic Mathematician
Radio Czubajka,122,1982-01-01,1989-02-01,IA01117,RCZUB,NA,Opposition Group Leadership Body Regional or Local,NA,NA,Andrzej Łuszewski,32,M,Opposition,Worker Agriculture
Rural Solidarność Rzeszow Agreement Signatory,124,1981-05-01,1981-05-01,IA01139,RURS,RZAGS,Protest Statement,NA,NA,Edward Małecki,47,M,Opposition,Worker Individual Farmer
“Słowo Powszechny”,125,1950-01-01,1952-12-31,IA00134,SLPO,NA,Periodical,NA,NA,Tadeusz Mazowiecki,61,M,Opposition,Journalist
Pastoral Care for Working People,126,1983-01-01,1989-02-01,IA01031,PCWP,NA,Charitable or Humanitarian Organization,NA,NA,Jan Mazurkiewicz,34,M,Opposition,Worker
NSZZ Solidarność Member,128,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Jacek Merkel,34,M,Opposition,Worker Engineer
Club for Contradiction Seekers,129,1962-01-01,1963-12-31,IA00321,CCS,NA,Salon,NA,NA,Adam Michnik,42,M,Opposition,Academic Historian
Warsaw Polytechnic Faculty of Civil Engineering,130,1969-09-01,1989-02-01,IA01305,WPOLY,FCE,Postsecondary School,NA,NA,Witold Mieszkowski,50,M,Opposition,Academic Architect
Factory Committee Solidarność Wrocław Polytechnic Institute of Mining,131,1980-09-01,1981-12-31,IA00428,FCWPIM,NA,Protest Action,NA,NA,Aureliusz Mikłaszewski,48,M,Opposition,Medical Doctor
Regional Enterprise of Urban Transport in Szczecin,132,1968-07-01,1980-12-31,IA01128,REUTS,NA,Factory,NA,NA,Andrzej Milczanowski,49,M,Opposition,Lawyer
Polish State Railways,133,1958-07-01,1959-06-30,IA01073,PSR,NA,Government Agency National,NA,NA,Andrzej Miłkowski,49,M,Opposition,Worker Steelworker
“Królowej Apostołów”,134,1982-07-01,1989-02-01,IA00068,KRA,NA,Periodical,NA,NA,Jacek Moskwa,40,M,Opposition,Journalist
Łódź Municipal Retail Trade Office,135,1949-07-01,1951-12-31,IA00681,LMRT,NA,Government Agency Regional or Local,NA,NA,Jan Mujżel,65,M,Opposition,Academic Economics
Union of Polish Teachers - ZNP,136,1965-01-01,1980-12-31,IA01265,ZNP,NA,NA,NA,NA,Michał Nawrocki,46,M,Opposition,Academic Physics
Warsaw University Faculty of Medicine,138,1943-09-01,1947-08-31,IA01341,UW,FMED,Postsecondary School,NA,NA,Róża Nowotna-Walcowa,66,F,Opposition,Medical Doctor
NSZZ Solidarność Member,139,1981-03-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Edward Olszewski,33,M,Opposition,Worker Robotics
PAN Department of Legal Sciences,140,1954-07-01,1956-06-30,IA00998,PAN,DOLS,Research Institue,NA,NA,Jan Olszewski,58,M,Opposition,Lawyer
Warsaw University Department of Math Computer Science and Mechanics,141,1962-01-01,1975-12-31,IA01324,UW,DMCSM,Postsecondary School,NA,NA,Janusz Onyszkiewicz,51,M,Opposition,Academic Mathematician
Silesia University Faculty of Law and Administration in Katowice,142,1974-09-01,1989-02-01,IA01170,SILU,FLAA,NA,NA,NA,Walerian Pańko,47,M,Opposition,Academic Law
Central Statistical Office,143,1960-01-01,1962-12-31,IA00306,GUS,NA,Government Leadership Body National,NA,NA,Aleksander Paszyński,60,M,Opposition,Journalist
Warsaw University Faculty of Law and Administration Institute of Administrative Law Department of Administrative and Banking Law,144,1978-09-01,1989-02-01,IA01338,UW,FLAAIALD,Postsecondary School,NA,NA,Krystyna Pawłowicz,36,F,Opposition,Academic Law
Factory Committee Solidarność KWK Manifest Lipcowy,145,1980-09-01,1981-12-31,IA00406,FCKWKM,NA,Protest Action,NA,NA,Alojzy Pietrzyk,37,M,Opposition,Worker Miner
Press Union of Poles in Germany,146,1934-01-01,1939-09-01,IA01094,PUPIG,NA,International Professional Association,NA,NA,Edmund Jan Osmańczych,75,M,Opposition,Journalist
NSZZ Solidarność Member,147,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Janusz Pałubicki,41,M,Opposition,Academic Art History
Fisheries Enterprise and Fishing Services KOGA in Hel,149,1960-01-01,1961-06-30,IA00445,FEFSK,NA,Factory,NA,NA,Zygmunt Polański,59,M,Opposition,Academic Economics
District Thermal Energy Enterprise in Bytom,150,1975-09-01,1978-06-30,IA00383,DTEEB,NA,Factory,NA,NA,Piotr Polmański,34,M,Opposition,Worker Miner
Provincial House of Culture Bydgoszcz,151,1962-09-01,1967-08-31,IA01107,PHCB,NA,Government Agency Regional or Local,NA,NA,Jerzy Puciata,55,M,Opposition,Artist
PZPR member,152,1978-01-01,1980-12-31,IA01113,PZPR,MEM,NA,NA,NA,Edward Radziewicz,41,M,Opposition,Worker Mechanic
Institute of Pedagogical Research,153,1977-09-01,1988-12-31,IA00535,IPR,NA,Research Institue,NA,NA,Julian Radziewicz,51,M,Opposition,Academic Pedagogy
Jan Zamoyski High School Warsaw,154,1982-09-01,1989-02-01,IA00608,JZHS,NA,High School,NA,NA,Anna Radziwiłł,52,F,Opposition,Academic Historian
City Hospital Gliwice,155,1964-01-01,1978-06-30,IA00320,CHG,NA,Medical Facility,NA,NA,Krzysztof Rajpert,55,M,Opposition,Medical Doctor
Łódź University Department of Urban Economic Planning,156,1974-09-01,1989-02-01,IA00687,LU,DUEP,Postsecondary School,NA,NA,Jerzy Regulski,64,M,Opposition,Academic Economist
“Słowo Powszechny”,158,1950-01-01,1953-12-31,IA00134,SLPO,NA,Periodical,NA,NA,Ryszard Reiff,65,M,Opposition,Journalist
Factory Committee Solidarność Mining and Steelworks Plant “Bolesław” in Bukowny,159,1980-09-01,1981-12-31,IA00411,FCMSPB,NA,Protest Action,NA,NA,Czesław Robakowski,40,M,Opposition,Worker Miner
Fire Fighter Szczecin,160,1970-01-01,1975-12-31,IA00441,FFS,NA,Factory,NA,NA,Zbigniew Rokicki,41,M,Opposition,Worker Farmer
Papal Academy of Theology Kraków,161,1985-09-01,1986-08-31,IA00975,PACTK,NA,Postsecondary School,NA,NA,Jan Rokita,29,M,Opposition,Lawyer
Letter in Support of Adam Michnik,162,1968-05-01,1968-05-30,IA00659,LSAM,NA,NA,NA,NA,Zbigniew Romaszewski,49,M,Opposition,Academic Physics
International Labor Union Geneva,163,1930-07-01,1939-09-01,IA00587,ILO,GEN,International Professional Association,NA,NA,Jan Rosner,83,M,Opposition,Academic Economics
Jagiellonian University Faculty of Law,164,1945-09-01,1949-08-31,IA00597,UJ,FOL,Postsecondary School,NA,NA,Andrzej Rozmarynowicz,65,M,Opposition,Lawyer
PAN Institute of History,165,1953-01-01,1989-02-01,IA01007,PAN,IH,Research Institue,NA,NA,Henryk Rutkowski,59,M,Opposition,Academic Historian
Gdynia Sea Fisheries Institute,167,1969-07-01,1989-02-01,IA00485,GSFI,NA,Research Institue,Gdynia,NA,Jerzy Salmonowicz,63,M,Opposition,Academic Chemist
Warsaw University Institute of History,168,1967-01-01,1978-12-31,IA01350,UW,IOH,Postsecondary School,NA,NA,Henryk Samsonowicz,59,M,Opposition,Academic Historian
Nysa Factory for Research Support,169,1979-09-01,1989-02-01,IA00962,NYSA,NA,Factory,NA,NA,Janusz Sanocki,34,M,Opposition,Worker
National Section of Engineers and Water Managers,170,1980-01-01,1981-12-31,IA00784,NSEWM,NA,National Professional Association,NA,NA,Adolf Sapkowski,62,M,Opposition,Worker Engineer
Teachers Solidarność Gdańsk,171,1988-09-01,1989-02-01,IA01243,TSOLIGK,NA,Opposition Group Leadership Body Regional or Local,NA,NA,Jarosław Sellin,25,M,Opposition,Academic
Institute of Immunology and Experimental Therapy Wrocław,172,1968-01-01,1969-12-31,IA00531,IIETW,NA,Research Institue,NA,NA,Władysław Sidorowicz,54,M,Opposition,Medical Doctor
Warsaw Voivodship Court Judge,174,1975-07-01,1987-06-30,IA01291,WVCJ,NA,Legal Office,NA,NA,Jadwiga Skórzewska,46,F,Opposition,Lawyer
Łódź Defenders of Peace Industrial Cotton Factory,175,1951-01-01,1954-12-31,IA00679,LDPIC,NA,Factory,NA,NA,Magdalena Sokołowska,66,F,Opposition,Academic
NZS University Committee Gdańsk University,176,1986-01-01,1988-12-31,IA00954,NZS,UCGU,Opposition Group Leadership Body Regional or Local,NA,NA,Andrzej Sosnowski,25,M,Opposition,Student
Bielsko-Biały High School for Workers,177,1972-09-01,1977-08-31,IA00262,BBHSW,NA,High School,Bielska-Biala,NA,Grażyna Staniszewska,39,F,Opposition,Academic
Network of Leading Plant Works,178,1981-01-01,1981-12-13,IA00786,NLPW,NA,Government Leadership Body National,NA,NA,Tomasz Stankiewicz,42,M,Opposition,Academic
Bolesław High School for Adults Sopot,179,1945-09-01,1946-08-31,IA00267,BHSA,NA,High School,Sopot,NA,Adam Stanowski,61,M,Opposition,Academic
Warsaw High School No. 20,180,1958-09-01,1959-08-31,IA01293,WHS20,NA,High School,NA,NA,Krystyna Starczewska,51,F,Opposition,Academic
KSS-KOR Intervention Committee,181,1978-09-01,1978-09-30,IA00627,KSSKOR,IC,Opposition Group Leadership Body National,NA,NA,Stefan Starczewski,53,M,Opposition,Academic
PAN Copernicus Astronomical Center,183,1976-09-01,1989-02-01,IA00995,PAN,CAC,Research Institue,NA,NA,Antoni Stawikowski,55,M,Opposition,Academic
Adam Mickiewicz University Faculty of Biology Department of General Zoology,184,1966-01-01,1989-02-01,IA00190,AMU,FBGZ,Postsecondary School,Poznan,NA,Kazimierz Stępczak,52,M,Opposition,Academic
Iskra Bearing Factory Center for Research and Development,185,1979-07-01,1983-03-30,IA00592,IBFCRD,NA,Research Institue,NA,NA,Jerzy Stępien,42,M,Opposition,Lawyer
Association of Catholic Youth “Revival”,187,1932-09-01,1939-09-01,IA00235,ACYR,NA,Independent Society,NA,NA,Stanisław Stomma,81,M,Opposition,Academic
Social Insurance Institution (ZUS) Headquarters Warsaw,188,1953-09-01,1956-12-31,IA01183,ZUS,HQ,Government Agency National,NA,NA,Adam Strzembosz,58,M,Opposition,Lawyer
PAN Institute of Physics,189,1979-09-01,1985-08-31,IA01015,PAN,IPHYSICS,Research Institue,NA,NA,Andrzej Suchocki,35,M,Opposition,Academic
Warsaw Uprising,190,1944-08-01,1944-11-30,IA01368,POWWAW,NA,Protest Action,NA,NA,Klemens Szaniawski,63,M,Opposition,Academic
Medical Academy Kraków,191,1972-01-01,1989-02-01,IA00719,MEDAK,NA,Postsecondary School,NA,NA,Andrzej Szczeklik,50,M,Opposition,Medical Doctor
Jagiellonian University Faculty of Indo-Iranian Philology,192,1945-09-01,1947-08-31,IA00596,UJ,FIIP,Postsecondary School,NA,NA,Jan Józef Szczepański,70,M,Opposition,Journalist
“Express Wieczorny”,193,1975-01-01,1980-12-31,IA00030,EXW,NA,Periodical,NA,NA,Jarosław Józef Szczepański,38,M,Opposition,Academic
Factory Committee Solidarność Lenin Shipyards Gdańsk,194,1981-09-01,1981-12-13,IA00407,FCLSG,NA,Protest Action,NA,NA,Edward Szwajkiewicz,34,M,Opposition,Worker Electrician
PAN Institute of History,195,1974-07-01,1989-02-01,IA01007,PAN,IH,Research Institue,NA,NA,Jacek Szymanderski,43,M,Opposition,Academic
Federation of Fighting Youth National Coordinating Committee,196,1988-01-01,1989-02-01,IA00437,FFY,NCC,Opposition Group Leadership Body National,NA,NA,Piotr Szynkiel,21,M,Opposition,Worker
Commission for the Realization of the Rzeszow-Ustrycki Agreement,198,1985-01-01,1989-02-01,IA00335,CRRUA,NA,Opposition Group,NA,NA,Józef ślisz,54,M,Opposition,Worker Farmer
Wrocław Technical College for Finances,199,1952-09-01,1953-08-31,IA01386,WRTCF,NA,Postsecondary School,NA,NA,Hanna świlda-Ziemba,58,F,Opposition,Academic
NSZZ Solidarność Member,200,1980-09-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Henryk Tachasiuk,26,M,Opposition,Worker
Coastal Free Trade Unions,201,1978-01-01,1980-08-01,IA00325,CFTU,NA,Opposition Group,NA,NA,Jacek Taylor,49,M,Opposition,Lawyer
Bicycle Factory Premot Romet Bydgoszcz,202,1975-07-01,1989-02-01,IA00261,BFPR,NA,Factory,Bydgoszcz,NA,Antoni Tokarczuk,37,M,Opposition,Academic
PAN Institute of Economics,204,1982-01-01,1989-02-01,IA01002,PAN,IEC,Research Institue,NA,NA,Andrzej Topiński,43,M,Opposition,Academic
Central School of Trade Warsaw,205,1947-09-01,1951-08-31,IA00303,SGH,NA,Postsecondary School,NA,NA,Witold Trzeciakowski,62,M,Opposition,Academic
Medical Academy Gdańsk,207,1959-10-01,1985-12-31,IA00713,MEDAG,NA,Postsecondary School,NA,NA,Jerzy Umiastowski,56,M,Opposition,Medical Doctor
Small Vehicle Factory Bielsko-Biały Department of Transport,208,1977-07-01,1989-02-01,IA01171,SVFBB,DOT,Factory,NA,NA,Henryk Urban,37,M,Opposition,Worker
Lenin Shipyards Gdańsk,209,1967-07-01,1976-06-30,IA00649,LSYG,NA,Factory,NA,NA,Lech Wałęsa,45,M,Opposition,Worker
Warsaw University Faculty of Law and Administration,210,1939-07-01,1948-06-30,IA01336,UW,FLAA,Postsecondary School,NA,NA,Zofia Wasikowska,78,F,Opposition,Lawyer
PAN Institute of Philosophy and Sociology,211,1972-09-01,1979-08-31,IA01014,PAN,IPS,Research Institue,NA,NA,Jerzy Wertenstein-Żuławski,41,M,Opposition,Academic
Mining Works Łęczna,212,1978-07-01,1983-03-30,IA00744,MWL,NA,NA,NA,NA,Stanisław Węglarz,40,M,Opposition,Worker Miner
NSZZ Solidarność Founding Committee Warsaw Television Works,213,1980-09-01,1981-12-13,IA00842,NSZZS,FCWTW,Opposition Group Leadership Body Regional or Local,NA,NA,Andrzej Wieczorek,40,M,Opposition,Journalist
Association of Rural Youth,214,1945-05-01,1948-06-30,IA00247,ZMW,NA,Independent Society,NA,NA,Andrzej Wielowieyski,61,M,Opposition,Lawyer
Paris École pratique des hautes études,215,1955-09-01,1956-12-31,IA01025,PEPHE,NA,Postsecondary School,NA,NA,Zbigniew Wierzbicki,69,M,Opposition,Academic
Warsaw University Faculty of Geology,216,1966-09-01,1970-08-31,IA01332,UW,FGEOL,Postsecondary School,NA,NA,Michał Wilczyński,40,M,Opposition,Academic
Polish Sociological Association,217,1966-09-01,1989-02-01,IA01070,PSOCA,NA,National Professional Association,NA,NA,Edmund Wnuk-Lipiński,44,M,Opposition,Academic
Wolski Hospital Warsaw,218,1970-07-01,1975-06-30,IA01375,WHW,NA,Medical Facility,NA,NA,Ewa Wolak,55,F,Opposition,Medical Doctor
Medical Academy Poznań Regional Liaison Committee with Scientists,219,1980-09-01,1980-12-13,IA00726,MEDAP,RLCS,Postsecondary School,NA,NA,Zbigniew Woźniak,41,M,Opposition,Medical Doctor
“Znak”,220,1957-01-01,1959-06-30,IA00177,ZNAK,NA,Periodical,NA,NA,Jacek Woźniakowski,68,M,Opposition,Academic
Ministry of Finance Institute of Finance,221,1977-01-01,1980-12-31,IA00755,MINF,IF,Government Leadership Body National,NA,NA,Irena Wóycicka,38,F,Opposition,Journalist
Polish Scouting Association - ZHP,222,1973-01-01,1989-02-01,IA01068,ZHP,NA,NA,NA,NA,Wojciech Wróblewski,31,M,Opposition,Academic
KIK Warsaw,223,1962-09-01,1989-02-01,IA00624,KIK,WAW,Salon,NA,NA,Henryk Wujec,48,M,Opposition,Worker
Self-educating Group,224,1988-01-01,1989-02-01,IA01157,SEG,NA,Independent Society,NA,NA,Jan Jakub Wygnański,24,M,Opposition,Academic
“Mies. Instrukcyjny ZMP”,226,1948-01-01,1956-06-30,IA00079,MIZMP,NA,NA,NA,NA,Jan Zalewski,58,M,Opposition,Journalist
NSZZ Solidarność Member,227,1980-10-01,1989-02-01,IA00873,NSZZS,MEMB,Opposition Group,NA,NA,Zbigniew Zawistowski,44,M,Opposition,Architect
Higher School of Pedagogy Katowice,228,1961-01-01,1963-12-31,IA00507,HSPKA,NA,Postsecondary School,Katowice,NA,Jerzy Zdrada,52,M,Opposition,Academic
Institute of Synthetic and Artificial Fibers Gorzów Wielkopolska,229,1956-09-01,1957-12-31,IA00541,ISAFG,NA,Research Institue,NA,NA,Andrzej Ziabicki,55,M,Opposition,Academic
